AA,Hamburg-Altona,Hamburg-Altona,"53,55257","9,934626"
AABG,Agathenburg,Agathenburg,"53,56427","9,53097"
AACW,Achterwehr,Achterwehr,"54,31503","9,96413"
AADF,Adendorf,Adendorf,"53,282443","10,45435"
AAE,Brest-Aspe,Brest-Aspe,,
AAG,Ascheberg (Holst),Ascheberg/Holst,"54,148586","10,33986"
AAGD,Arnis-Grödersby,Arnis-Grödersby,,
AAH,Aumühle,Aumühle,"53,530039","10,314641"
AAH A,Aumühle Abzw,Aumühle Abzw,"53,529971","10,319278"
AAHG,Ahrensburg-Gartenholz,Ahrensburg-Gh,"53,689057","10,251831"
AAHN,Ahrensburg Nord,Ahrensburg Nord,"53,685657","10,250409"
AAHR,Ahrensburg,Ahrensburg,"53,669325","10,236167"
AAHRW,Ahrensburg West (Bus),Ahrensburg W Bus,,
AAI,Hamburg Airport,Hamburg Airport,"53,632707","10,006722"
AAL,Albersdorf,Albersdorf,"54,146016","9,292834"
AALG,Alsen DB-Grenze,Alsen DB-Gr,,
AALH,Hamburg-Allermöhe (S-Bahn),Allermöhe,"53,490332","10,158624"
AALM,Hamburg-Allermöhe,Allermöhe Abzw,"53,490845","10,153612"
AALS,Itzehoe Alsen,Alsen,,
AAMP,Hamburg Anckelmannsplatz,Anckelmannsplatz,"53,550315","10,030331"
AAMS,Aumühle (S-Bahn),Aumühle (S-Bahn),,
AAN,Hamburg-Altona (neu),Hmb-Altona (neu),"53,568523","9,933223"
AAN K,Hamburg-Altona Kleingärten,Hmb-A/Kl.-Gart.,,
AAN K,Hamburg-Altona Kleingärten,Hmb-A/Kl.-Gart.,,
AAN S,Hamburg-Altona Stellingen,Hmb-A/Stellingen,,
AAN S,Hamburg-Altona Stellingen,Hmb-A/Stellingen,,
AAPL,Apeler,Apeler,,
AAPS,Apensen,Apensen,,
AAPSB,Apensen BHE,Apensen BHE,,
AAR,Hamburg Rainweg,Rainweg,"53,562975","9,941785"
AARF,Ahrensfelde (Bz Bremen),Ahrensfelde/Brm,,
AARG,Ahrensburg-Gartenholz (S-Bahn),Ahrensb-Gartenh,,
AARGF,Ahrensburg-Gartenholz (Fernbahn),Ahrensb-Gh Fernb,,
AARS,Ahrensburg (S-Bahn),Ahrensbg S-Bahn,,
AARW,Ahrensburg West,Ahrensburg West,,
AAS,Hamburg-Altona (S-Bahn),Altona (S-Bahn),"53,553542","9,934559"
AAS O,Hamburg-Ottensen (S-Bahn),Hmb-Ottensen S-B,"53,559566","9,926627"
AASA,Ashausen Abzw,Ashausen Abzw,"53,368034","10,148073"
AASM,Archsum,Archsum,,
AASN,Ashausen,Ashausen,"53,368586","10,145619"
AAT,Altengörs,Altengörs,"53,898943","10,355281"
AAU,Aukrug,Aukrug,"54,082417","9,785833"
AAV,Alveslohe,Alvesloe,,
AAW,Hamburg Alte Wöhr,Alte Wöhr,"53,59764","10,035521"
AAX,Hamburg-Altona ESTW-Z,Hmb-Altona ESTW,,
AB,Hamburg-Blankenese,Blankenese,"53,564148","9,813748"
ABAA,Basdahl,Basdahl,,
ABAAK,Basdahl-Kluste,Basdahl-Kluste,,
ABAD,Bardowick,Bardowick,"53,290375","10,372367"
ABAE,Bargteheide,Bargteheide,"53,728187","10,268987"
ABAF,Hamburg-Bahrenfeld,Bahrenf (S-Bahn),"53,56008","9,909911"
ABAG,Hamburg-Barmbek,Hamburg-Barmbek,"53,600368","10,034449"
ABAH,Hamburg-Bahrenfeld Abzw,Bahrenfeld Abzw,"53,560061","9,915605"
ABAP,Hamburg-Barmbek (S-Bahn),Barmbek (S-Bahn),"53,587255","10,04585"
ABAS,Badenstedt (b.Rotenburg (Wümme)),Badenstedt,,
ABAT,Bargstedt,Bargstedt,,
ABAW,Bardowick Hp,Bardowick Hp,"53,290644","10,371201"
ABB,Bickbargen,Bickbargen,"53,623053","9,853703"
ABBG,Blocksberg,Blocksberg,,
ABBK,Hamburg-Billbrook,Hmb-Billbrook,,
ABCH,Büchen,Büchen,"53,477357","10,61972"
ABCHG,Büchen Bbf,Büchen Bbf,,
ABCL,Barchel,Barchel,,
ABDD,Breddorf,Breddorf,,
ABDF,Beschendorf,Beschendorf,"54,192592","10,875624"
ABDS,Hamburg-Bergedorf Süd,Hmb-Berged.Süd,,
ABE,Beldorf,Beldorf,"54,125169","9,355615"
ABEF,Beckdorf,Beckdorf,,
ABEV,Bevern (Bremervörde),Bevern,,
ABF,Bavendorf,Bavendorf,"53,187521","10,629496"
ABFW,Fehmarn West,Fehmarn West,,
ABG,Hamburg-Bergedorf,Hmb-Bergedorf,"53,489832","10,206216"
ABG G,Hamburg-Bergedorf Gbf,Hmb-Berged Gbf,,
ABG S,Hamburg-Bergedorf (S-Bahn),Hmb-Bergedorf S,"53,489832","10,206216"
ABGS,Beringstedt,Beringstedt,"54,113611","9,538024"
ABH,Bokhorst,Bokhorst,,
ABHT,Bokholt,Bokholt,,
ABIL,Bienenbüttel,Bienenbüttel,"53,14214","10,484643"
ABIS,Hamburg-Billstedt,Hmb-Billstedt,,
ABK,Brunsbüttel,Brunsbüttel,"53,898351","9,159764"
ABLX,Buchholz (Nordheide) ESTW-UZ,Buchholz ESTW,,
ABLXX,Buchholz ESTW-ZE,Buchholz ZE,,
ABLXX,Buchholz ESTW-ZE,Buchholz ZE,,
ABLZ,Buchholz (Nordheide),Buchholz (Nordh),"53,324237","9,876407"
ABM,Bokelholm,Bokelholm,,
ABM N,Bokelholm Nord,Bokelholm N,,
ABM S,Bokelholm Süd,Bokelholm Süd,,
ABMB,Barmstedt Brunnenstraße,Barm Brunnenstr,,
ABMS,Barmstedt,Barmstedt,,
ABNS,Bönningstedt,Bönningstedt,,
ABOE,Bötersen,Bötersen,,
ABOS,Boostedt,Boostedt,,
ABR,Burg (Dithm),Burg (Dithm),"54,007974","9,249247"
ABRA,Burg (Dithm) Awanst,Burg Awanst,,
ABRB,Bredenbek,Bredenbek,"54,315057","9,867075"
ABRBM,Bredenbek Mühlenweg,Bredenb Mühlenwg,,
ABRD,Bordesholm,Bordesholm,"54,174397","10,043813"
ABRI,Brillit,Brillit,,
ABRM,Brandenbaum,Brandenbaum,"53,853082","10,744194"
ABRO,Brockel,Brockel,,
ABRP,Braderup,Braderup,,
ABRS,Brokstedt,Brokstedt,"53,989813","9,823243"
ABS,Hamburg-Billwerder (Üst),Billwerder,"53,507278","10,11313"
ABSC,Bad Schwartau FBQ,B Schwartau FBQ,,
ABSD,Bad Bramstedt,Bad Bramstedt,,
ABSF,Börnsen,Börnsen,,
ABSK,Bad Bramstedt Kurhaus,Bad Bramst Kurh,,
ABSM,Büsum,Büsum,"54,133836","8,867082"
ABSMH,Büsum Hafen,Büsum Hafen,,
ABST,Bredstedt,Bredstedt,"54,621422","8,96998"
ABSTB,Bredstedt Bf,Bredstedt Bf,,
ABSTM,Bredstedt Marktplatz,Bredstedt Markt,,
ABTS,Hamburg Berliner Tor,Berliner Tor,,
ABTSB,Hamburg Berliner Tor (Bergedorf),Berliner Tor B,"53,552456","10,02495"
ABTSL,Hamburg Berliner Tor (Landwehr),Berliner Tor L,"53,552978","10,024647"
ABUA,Burg (Fehmarn) Abzw,Burg (F) Abzw,"54,448823","11,182239"
ABUE,Büdelsdorf,Büdelsdorf,,
ABUF,Fehmarn-Burg,Fehmarn-Burg,,
ABUG,Burg (Fehmarn) DB-Grenze,Burg (F) DB-Gr,"54,447057","11,186092"
ABUS,Büsenbachtal,Büsenbachtal,"53,269666","9,858573"
ABUSS,Alter Schafstall,Alter Schafstall,,
ABUW,Burg (Fehmarn) West,Burg(F)West,"54,45032","11,180826"
ABUWN,Burg (Fehmarn) West Abzw Bft,Burg (F) W Abzw,"54,45335","11,186339"
ABV,Bremervörde,Bremervörde,,
ABVD,Bremervörde Süd,Bremervörde Süd,,
ABVS,Bad Bevensen,Bad Bevensen,"53,078242","10,574191"
ABWD,Hamburg-Burgwedel,Burgwedel,,
ABWG,Buscher Weg,Buscher Weg,,
ABWM,Hamburg-Billwerder-Moorfleet,Billw-Moorfl,"53,515491","10,097032"
ABX,Buxtehude,Buxtehude,"53,469315","9,697797"
ABXA,Buxtehude Abzw,Buxtehude Abzw,,
ABXG,Buxtehude DB-Grenze,Buxtehude DB-Gr,"53,471494","9,678984"
ABZS,Hamburg Betriebszentrale S-Bahn,Hambg BZ S-Bahn,,
ACD,Cadenberge,Cadenberge,"53,768014","9,058375"
ACSS,Hamburg Claudiusstraße,Claudiusstraße,,
